Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.104-157.240.7.26-46354-443-6,192.168.0.104,46354,157.240.7.26,443,6,10/09/2020 12:00:25 AM,398830,6,3,581.0,2281.0,517.0,0.0,96.83333333333334,207.42460477645045,2281.0,0.0,760.3333333333334,1316.9359640215364,7175.989770077476,22.566005566281373,49853.75,79726.76104895485,221260.0,106.0,398830.0,79766.0,90382.22162571576,221260.0,627.0,88457.0,44228.5,61999.82968121767,88069.0,388.0,0,0,0,0,200,104,15.044003710854248,7.522001855427124,0.0,2281.0,286.20000000000005,719.2002966258194,517249.0666666667,1,2,0,3,8,0,0,0,0.0,318.0,96.83333333333333,760.3333333333334,0,0,0,0,0,0,0,64,0,253,64240,113,2,32,0,0,0,0,1.599675325702927E15,136084.8815325866,1.599675325946153E15,1.599675325548197E15,No Label
192.168.0.104-54.164.50.86-40688-443-6,192.168.0.104,40688,54.164.50.86,443,6,10/09/2020 12:00:18 AM,61039430,10,10,643.0,5661.0,517.0,0.0,64.29999999999998,163.91735722613396,5257.0,0.0,566.1,1650.1097236244623,103.27750439347156,0.32765705708588694,3212601.578947368,1.0703225633583775E7,4.5424863E7,15.0,6.1039415E7,6782157.222222222,1.5257581414868737E7,4.5424863E7,46.0,6.0721685E7,6746853.888888888,1.5442088479351703E7,4.6077117E7,34.0,0,0,0,0,328,328,0.16382852854294347,0.16382852854294347,0.0,5257.0,300.19047619047626,1142.3925603332516,1305060.7619047621,1,2,0,7,19,0,0,0,1.0,315.2,64.3,566.1,0,0,0,0,5,8693,0,32,0,283,64240,110,2,32,0,0,0,0,1.599675335322105E15,2.5880236038560227E7,1.599675379614431E15,1.599675318575107E15,No Label
192.168.0.104-54.164.251.43-37482-443-6,192.168.0.104,37482,54.164.251.43,443,6,10/09/2020 12:00:18 AM,61034630,8,10,653.0,5674.0,527.0,0.0,81.625,185.28120519901634,4200.0,0.0,567.3999999999999,1317.1687818954713,103.66246178603852,0.294914542776781,3590272.352941177,1.1287131519377384E7,4.5416638E7,16.0,4.645047E7,6635781.428571428,1.7101511273016017E7,4.5416638E7,216.0,6.0709738E7,6745526.444444444,1.5443079808872648E7,4.6076987E7,16.0,0,0,0,0,264,328,0.13107313012301378,0.16384141265376723,0.0,4200.0,333.00000000000006,972.4123496633399,945585.7777777778,1,2,0,7,17,0,0,0,1.0,351.5,81.625,567.4,0,0,0,0,6,8920,0,36,0,315,64240,110,2,32,0,0,0,0,1.5996753294035162E15,2.116829055048849E7,1.599675378965973E15,1.599675318583752E15,No Label
192.168.0.104-54.164.50.86-40682-443-6,192.168.0.104,40682,54.164.50.86,443,6,10/09/2020 12:00:18 AM,61578780,11,13,1368.0,6172.0,588.0,0.0,124.36363636363635,216.80049479983794,5257.0,0.0,474.7692307692307,1442.5754835158627,122.44477724306977,0.38974464904955897,2677338.2608695654,9701731.67494664,4.5044886E7,19.0,4.6588746E7,4658874.600000001,1.4323349589917028E7,4.5421017E7,271.0,6.1263842E7,5105320.166666666,1.3421586078526208E7,4.5697099E7,19.0,0,0,0,0,360,424,0.1786329641477145,0.21111168490184443,0.0,5257.0,301.59999999999985,1046.196563748897,1094527.25,1,2,0,13,23,0,0,0,1.0,314.1666666666667,124.36363636363636,474.7692307692308,0,0,0,0,11,8762,0,57,0,257,64240,114,5,32,0,0,0,0,1.5996753266120205E15,1.8301911739744198E7,1.59967537937202E15,1.599675318445665E15,No Label
192.168.0.104-54.164.50.86-40682-443-6,192.168.0.104,40682,54.164.50.86,443,6,10/09/2020 12:01:20 AM,1191,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1679.2611251049539,1191.0,0.0,1191.0,1191.0,1191.0,1191.0,0.0,1191.0,1191.0,0,0,0,0,0,0,0,0,0,64,0,1679.2611251049539,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,501,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-54.164.251.43-37476-443-6,192.168.0.104,37476,54.164.251.43,443,6,10/09/2020 12:00:18 AM,61560601,11,14,1314.0,5841.0,527.0,0.0,119.45454545454547,180.73370667164644,5254.0,0.0,417.2142857142856,1394.1539578689858,116.2269354712765,0.40610389752367754,2565025.0416666665,9499922.842017949,4.502171E7,6.0,4.6565975E7,4656597.499999999,1.4322317502877576E7,4.541597E7,387.0,6.122756E7,4709812.307692307,1.2922624358899835E7,4.5673967E7,12.0,0,0,0,0,360,456,0.17868571491041813,0.2274181826132594,0.0,5254.0,275.1923076923076,1024.0938636367573,1048768.2415384613,1,2,0,13,24,0,0,0,1.0,286.2,119.45454545454545,417.2142857142857,0,0,0,0,11,8673,0,52,0,233,64240,114,6,32,0,0,0,0,1.5996753262851488E15,1.792506612138935E7,1.599675379376532E15,1.599675318468398E15,No Label
192.168.0.104-54.164.251.43-37476-443-6,192.168.0.104,37476,54.164.251.43,443,6,10/09/2020 12:01:20 AM,293,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6825.938566552901,293.0,0.0,293.0,293.0,293.0,293.0,0.0,293.0,293.0,0,0,0,0,0,0,0,0,0,64,0,6825.938566552901,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,501,0,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-52.201.3.186-53712-443-6,192.168.0.104,53712,52.201.3.186,443,6,10/09/2020 12:00:18 AM,67095280,10,9,1353.0,5639.0,710.0,0.0,135.3,259.1018890106533,4096.0,0.0,626.5555555555555,1356.1718282643162,104.21001298451992,0.2831793831101085,3727515.555555556,1.0910925723403925E7,4.5040191E7,5.0,6.2006357E7,6889595.222222222,1.516633348808822E7,4.5040191E7,13.0,6.6780961E7,8347620.125,1.5941921209571695E7,4.5735016E7,17.0,0,0,0,0,328,296,0.14904178058426762,0.13413760252584087,0.0,4096.0,349.6,934.4186146307345,873138.1473684212,1,2,0,8,18,0,0,0,0.0,368.0,135.3,626.5555555555555,0,0,0,0,7,5910,0,71,0,296,64240,115,3,32,0,0,0,0,1.5055767803911608E15,3.8797825450301744E14,1.599675379813314E15,5088846.0,No Label
192.168.0.104-52.201.3.186-53718-443-6,192.168.0.104,53718,52.201.3.186,443,6,10/09/2020 12:00:18 AM,66972148,9,8,643.0,5355.0,517.0,0.0,71.44444444444444,172.20127112706743,4096.0,0.0,669.3749999999999,1443.2900844449612,89.5596181266278,0.25383686364666097,4185759.2500000005,1.162835165514353E7,4.5424811E7,20.0,6.1889678E7,7736209.75,1.6139010538533207E7,4.5424811E7,56.0,6.6652591E7,9521798.714285715,1.6995769144065723E7,4.6077017E7,77.0,0,0,0,0,296,264,0.13438422193058522,0.11945264171607575,0.0,4096.0,333.2222222222223,983.708622303765,967682.6535947713,1,2,0,6,16,0,0,0,0.0,352.8235294117647,71.44444444444444,669.375,0,0,0,0,5,8439,0,37,0,315,64240,110,2,32,0,0,0,0,1.4930303084840498E15,4.1303439288983544E14,1.599675379819798E15,5082376.0,No Label
192.168.0.104-157.240.7.35-40448-443-6,192.168.0.104,40448,157.240.7.35,443,6,10/09/2020 12:17:48 AM,128812,4,1,517.0,0.0,517.0,0.0,129.25,258.5,0.0,0.0,0.0,0.0,4013.6012172778933,38.816259354718504,32203.0,40630.66177982666,85775.0,144.0,128812.0,42937.333333333336,42394.24657112487,85919.0,1156.0,0,0,0,0,0,0,0,0,0,136,40,31.053007483774802,7.763251870943701,0.0,517.0,86.16666666666667,211.0643661698172,44548.16666666667,1,2,0,1,4,0,0,0,0.0,103.4,129.25,0.0,0,0,0,0,0,0,0,103,0,0,64240,27760,1,32,0,0,0,0,1.5996763680571225E15,61367.6762188369,1.599676368100516E15,1.599676368013729E15,No Label
192.168.0.104-157.240.7.35-40452-443-6,192.168.0.104,40452,157.240.7.35,443,6,10/09/2020 12:17:48 AM,116816,4,1,517.0,0.0,517.0,0.0,129.25,258.5,0.0,0.0,0.0,0.0,4425.763594028215,42.80235584166552,29203.999999999996,56392.27522749311,113773.0,63.0,116816.0,38938.66666666667,64874.63561618927,113836.0,261.0,0,0,0,0,0,0,0,0,0,136,40,34.24188467333242,8.560471168333105,0.0,517.0,86.16666666666667,211.0643661698172,44548.16666666667,1,2,0,1,4,0,0,0,0.0,103.4,129.25,0.0,0,0,0,0,0,0,0,103,0,0,64240,27760,1,32,0,0,0,0,1.5996763680827025E15,80589.66695861201,1.599676368139688E15,1.599676368025717E15,No Label
192.168.0.104-157.240.7.26-46574-443-6,192.168.0.104,46574,157.240.7.26,443,6,10/09/2020 12:17:47 AM,180719,4,1,517.0,0.0,517.0,0.0,129.25,258.5,0.0,0.0,0.0,0.0,2860.794935784284,27.667262435051104,45179.75,51650.39443137551,93213.0,113.0,180719.0,60239.666666666664,51491.4691607584,93326.0,914.0,0,0,0,0,0,0,0,0,0,136,40,22.13380994804088,5.53345248701022,0.0,517.0,86.16666666666667,211.0643661698172,44548.16666666667,1,2,0,1,4,0,0,0,0.0,103.4,129.25,0.0,0,0,0,0,0,0,0,103,0,0,64240,27760,1,32,0,0,0,0,1.599676368009231E15,66477.93692647207,1.599676368056238E15,1.599676367962224E15,No Label
192.168.0.104-157.240.7.26-46576-443-6,192.168.0.104,46576,157.240.7.26,443,6,10/09/2020 12:17:47 AM,180529,4,1,517.0,0.0,517.0,0.0,129.25,258.5,0.0,0.0,0.0,0.0,2863.8058151321948,27.696381190833606,45132.25,51540.86331171284,90388.0,128.0,180529.0,60176.333333333336,51364.519761537085,90516.0,871.0,0,0,0,0,0,0,0,0,0,136,40,22.157104952666884,5.539276238166721,0.0,517.0,86.16666666666667,211.0643661698172,44548.16666666667,1,2,0,1,4,0,0,0,0.0,103.4,129.25,0.0,0,0,0,0,0,0,0,103,0,0,64240,27760,1,32,0,0,0,0,1.5996763680080915E15,64439.34807631126,1.599676368053657E15,1.599676367962526E15,No Label
192.168.0.104-157.240.7.26-46578-443-6,192.168.0.104,46578,157.240.7.26,443,6,10/09/2020 12:17:47 AM,180381,4,1,517.0,0.0,517.0,0.0,129.25,258.5,0.0,0.0,0.0,0.0,2866.155526358097,27.719105670774635,45095.25,51093.8779723168,92872.0,51.0,180381.0,60127.0,50644.762542636134,92923.0,1798.0,0,0,0,0,0,0,0,0,0,136,40,22.17528453661971,5.5438211341549275,0.0,517.0,86.16666666666667,211.0643661698172,44548.16666666667,1,2,0,1,4,0,0,0,0.0,103.4,129.25,0.0,0,0,0,0,0,0,0,103,0,0,64240,27760,1,32,0,0,0,0,1.5996763680099715E15,66905.73652908995,1.599676368057281E15,1.599676367962662E15,No Label
192.168.0.104-157.240.7.26-46586-443-6,192.168.0.104,46586,157.240.7.26,443,6,10/09/2020 12:17:48 AM,129157,4,1,517.0,0.0,517.0,0.0,129.25,258.5,0.0,0.0,0.0,0.0,4002.8802155516155,38.71257461848758,32289.25,41722.57541088118,88553.0,223.0,129157.0,43052.333333333336,43998.2214451145,88776.0,1011.0,0,0,0,0,0,0,0,0,0,136,40,30.970059694790063,7.742514923697516,0.0,517.0,86.16666666666667,211.0643661698172,44548.16666666667,1,2,0,1,4,0,0,0,0.0,103.4,129.25,0.0,0,0,0,0,0,0,0,103,0,0,64240,27760,1,32,0,0,0,0,1.5996763680587935E15,63173.62693798734,1.599676368103464E15,1.599676368014123E15,No Label
